DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=ç¾åæ¯, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=ç¾åæ¯, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-dates_to_values-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-dates_to_values-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=åå§å¼, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=åå§å¼, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=åå§å¼, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=对数值, format_suffix=log10, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-log10.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=对数值, format_suffix=log10, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-log10.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=对数值, format_suffix=log10, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-log10.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=比值, format_suffix=ratio, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-ratio.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-percentage.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=便血评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-便血评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=腹泻评分, display_format=原始数值, format_suffix=raw, filename=20251217-DSS-single_cell-1514+CsA-腹泻评分-2025-12-16_to_2025-12-24-raw.svg
DEBUG: generate_chart_svg - experiment_name=20251217-DSS-single_cell-1514+CsA, param_name=体重, display_format=百分比, format_suffix=percentage, filename=20251217-DSS-single_cell-1514+CsA-体重-2025-12-16_to_2025-12-24-percentage.svg
